Cocktail Name,Bartender,Company,Location,Ingredients,Garnish,Glassware,OfficialRating,AgeOfBartender
Bitter Valencia,Justin Ware,,Houston,".75 oz Luxardo Bitter Bianco, .75 oz Gin, .75 oz Clarified Milk*, 2 dash Orange Bitters, 4 drops Vanilla",Orange Twist,Nick & Nora,9,32
The Big Picture,Nate Jimenez,,,"1.5 oz Tempus Fugit Alessio Vino Chinato, 1.5 oz Fig-Infused C. Drouin Calvados Selection, .5 oz Lemon, .25 oz Simple Syrup","Lemon Wheel, Dried Fig",N/A,6,38
The King's Squeeze,,,,"35 ml King's Ginger Liqueur, 125 ml Fever-Tree Bitter Lemon",Lime Squeeze,N/A,7,26
English Harbour Colada,,,,"2 oz English Harbour Rum 5 YO, 2 oz Fresh Squeezed Pineapple Juice, 2 oz Fresh Coconut Water","Pineapple Wedge, Lime Wheel",Old Fashioned Glass,10,36
Rita's Song,Jim Romdall,,,"2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .5 oz 15 YO Sherry, 2 dashes Dr. Adam's Boker's bitters, .25 oz Simple syrup",,Old Fashioned Glass,10,38
1880's Americana,,,,"2 oz Hirsch Small Batch Reserve Bourbon, 10 ml Amer Picon, 10 ml House Cola Syrup",Cola candied orange peel,Old Fashioned Glass,10,29
Luxardo Maraschino Simple Spritz,,,,".5 oz Luxardo Maraschino Liqueur, .5 oz Squeeze of Lime , 3 oz Italian Sparkling Water","Lime Twist, Luxardo Cherry",N/A,5,26
Aperitivo Spritz,,,San Francisco,"2 oz Luxardo Aperitivo, 3 oz Prosecco, 1 splash Sparkling Water","Orange, Luxardo Cherry",N/A,6,35
La Chiara,Pasha Morshedi,,Houston,"1 oz Luxardo Bitter Bianco, 1 oz BarSol Primero Quebranta Pisco, 2 oz Fever-Tree Indian Tonic, 1 dash Luxardo Maraschino Liqueur",Lemon Twist,Collins,2,42
Nellie Fer' Toddy,Robert Krueger,,,"1 oz Blended Scotch, 1 oz King's Ginger Liqueur, .5 oz The Genuine Curacao Liqueur Orange, .75 oz Fresh Lemon Juice,  top Hot Water, 1 dash Peychaud's Bitters",Half Orange Wheel,,7,47
Almond Crusta,Kevin Diedrich,,San Francisco,"1 oz H by HINE, .5 oz Junipero Gin, .75 oz LemonJuice, .5 oz Orgeat, 1 dash Angostura Bitters","Superfine White Sugar, Lemon Zest",Coupe,8,-1
Hidarite,,,,"1.5 oz Nikka Coffey Grain Whiskey, .75 oz Luxardo Bitter, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 2 dash Chocolate Bitters",,N/A,7,-1
Bird is the Word,,,,".75 oz Pink Pigeon Rum, .75 oz Luxardo Maraschino Liqueur, .75 oz Green Chartreuse, .5 oz Lime Juice, .5 oz Pineapple Juice",Luxardo Cherry,Coupe,5,32
A Love Song,Russell Davis,,San Francisco,"1 oz No.3 London Dry Gin, 1 oz Maurin Quina, .5 oz Luxardo Bitter, .5 oz King's Ginger Liqueur",Blood orange slice,Martini,6,29
Drops of Jupiter,Russell Davis,,San Francisco,"1.5 oz Junipero Gin, .5 oz Genevieve Gin, .25 oz Rich Wild Sage Honey Syrup, 1 dash Angostura Bitters, 1 dash Whiskey Barrel Aged Bitters, .75 oz Spring Water",Duke's lemon,Rocks Glass,8,35
Round Pond Aperitif,Alan Kropf,,San Francisco,"1.5 oz Luxardo Aperitivo, .5 oz Round Pond Blood Orange Syrup, .5 oz Fresh Lemon Juice, 1 splash Sparkling Wine",Lemon Peel,Coupe,5,26
Across The Pond,Alan Kropf,,San Francisco,"1 oz Junipero Gin, 1 oz King's Ginger Liqueur, .5 oz Round Pond Meyer Lemon Syrup, .75 oz Fresh Lemon Juice, 1 splash Soda water",Luxardo Cherry,Rocks Glass,5,32
Hopped-Up Mary,Russell Davis,,,"2 oz Hophead Vodka, 6 oz Tomato Juice, 1.5 tsp Demitri's Bloody Mary Seasoning, .5 oz Fresh Lemon Juice","Cocktail Shrimp, Lemon Zest, Celery Stalk",N/A,5,38
Swedish Royal,Sean McClure,,,"2 oz Karlsson's Gold Vodka, 1 oz Apricot brandy, .5 oz Dry vermouth, .5 oz Sweet vermouth",,Coupe,5,26
Gold Spritz,Sean McClure,,,"1 oz Cocchi Americano, 1 oz Karlsson's Gold Vodka, 2 oz Club Soda",Orange Twist,N/A,7,36
La Madrugada,Enrique Sanchez,,Pacifica,"1.5 oz BarSol Perfecto Amor (Aperitif Wine), .5 oz Lemon juice, .5 oz Luxardo Amaro Abano, .25 oz Luxardo Maraschino Liqueur",,Coupe,5,38
The Rickenbacker,,,San Francisco,"2 oz Hophead Vodka, 1 oz Tempus Fugit Alessio Vermouth Bianco, 2 dash Luxardo Maraschino Liqueur,   Salt","Sage Leaf, Cocktail Onions",N/A,7,35
Speyside Orchard,Brian MacGregor,,San Francisco,"1 oz Glenrothes Bourbon Reserve, 1.5 oz C. Drouin Pommeau de Normandie, .5 oz Chamomile Tea Syrup*, .75 oz Lemon Juice",Apple Slices,Collins,,27
Chippendale Rosetone,,,,"1.5 part Gin, .25 part Luxardo Apricot Liqueur, .75 part Casoni 1814, .5 part Dry Vermouth, 1 part Unfiltered Apple Juice, 1 part Fresh Lemon Juice, .5 part Rich Simple Syrup (2:1), 2 part Jasmine Green Tea","Lemon Wheels, Apple Slices",,8,37
La Hops Vie,,,,"2 oz Hophead Vodka, .75 oz Fresh Lemon Juice, .75 oz Fresh Grapefruit Juice, .5 oz Simple Syrup,   Gin Barrel Aged Orange Bitters,   Fresh Basil Leaves",Fresh Basil Leaves,Martini,7,-1
The Monte Rua,,,,"4 oz Ca' Secco Sparkling, 1 bsp Luxardo Cherry Syrup",Luxardo Cherry,Champagne Flute,,34
See ya Amaro!,Lynnette Marrero,,,"1.5 oz H by HINE, .75 oz Luxardo Amaro Abano, .5 oz Luxardo Apricot Liqueur, .25 oz Luxardo Amaretto di Saschira, .16 oz Luxardo Maraschino Liqueur, .5 oz Perfect Puree Apricot*, .5 oz Lemon Juice",,N/A,6,36
Rose Sangria,Lynnette Marrero,,,"1.5 oz Pink Pigeon Rum, .5 oz Fresh Lemon Juice, .75 oz Honey Syrup (1:1 honey & water), 1 oz Pomegranate Juice, 3 oz Rose Wine,   Cinnamon, grated,   Nutmeg, grated,   Cherries,   Strawberries,   Watermelon, cube",Luxardo Cherries,Wine Glass,6,26
White Tie,Robby Cook,,Houston,"1 oz Luxardo Bitter Bianco, 2 oz No.3 London Dry Gin, 2 dash Orange Bitters, 1 bsp Luxardo Maraschino Liqueur",Lemon Peel,Nick & Nora,4,35
The Italian Diplomat,Hal Brock,,Houston,"1 oz Luxardo Bitter Bianco, 1.5 oz BarSol Primero Quebranta Pisco, .25 oz Bay Leaf Syrup*, 2 dash Salt Tincture**","Lemon Zest, Yerba Mate Tea Sachet",Nick & Nora,3,34
See You T'Amaro,Jon Morales,,San Francisco,"1.5 oz Luxardo Amaro Abano, .5 oz Lemon juice, .25 oz Simple syrup, .5 oz Egg white, 1 dash Fee Bros Rhubarb bitters",Nutmeg,,7,29
Cut To The Chase,,,,"2 oz J.H. Cutter Whisky, .75 oz Averna Amaro, .5 oz Alvear PX Sherry, 2 dash Angostura Bitters",Orange Twist,Coupe,,26
Hophead Dirty Martini,,,,"4 oz Hophead Vodka, .5 oz Olive Juice, 1 dash Dry Vermouth",Olive,Martini,5,35
West Coast Vesper,Russell Davis,,,"1 oz Hophead Vodka, 1 oz Junipero Gin, .5 oz Maurin Quina",Orange Peel,Coupe,,42
Hophead Old Fashioned,,,San Francisco,"2 oz Hophead Vodka, .25 oz Simple syrup, 2 dash Angostura bitters, 1 dash Fee Brothers Gin Barrel Aged Bitters","Dukes Lemon Zest, Dukes Grapefruit Zest",,7,47
Bacio Romana,Harold Madison,,Houston,"1.5 oz Luxardo Bitter Bianco, .5 oz BarSol Pisco, .5 oz Luxardo Maraschino Liqueur, .5 oz Dry Vermouth","Cinnamon Stick, Orange Twist",Coupe,5,
3 Degrees,,,,"1.75 oz No.3 London Dry Gin, .75 oz Velvet Falernum, .5 oz Lime juice, .5 oz Pear Sage Foam, 1 float Prosecco",Sage,Martini,5,
Three Flips,,,,"1.5 oz No.3 London Dry Gin, 1.5 oz Averna, .75 oz Honey, 1 whole Egg","Nutmeg, shaved",,5,32
Nieux Carré,Sean McClure,,,"1.5 oz Karlsson's Gold Vodka, .75 oz Gran Duque d Alba Solera gran Reserva brandy, .75 oz Carpano Antica Vermouth, .25 oz Benedictine, 1 tincture Peychaud's Bitters, 1 tincture Angostura bitters",Lemon twist,Old Fashioned Glass,10,29
L.E.S. Is More,Sean Mcclure,,,"1.5 oz Karlsson's Gold Vodka, .75 oz Esprit de June, .5 oz Fresh lemon juice, .5 oz Simple syrup",Lemon Twist,Highball Glass,5,35
La Perle de Verre,Christa Havican,,Houston,"1 oz Luxardo Bitter Bianco, 1 oz Citadelle Gin, 2 dash Orange Bitters, .25 oz Rose Poached Pear Syrup*, 1 oz Topo Chico Mineral Water, 1 oz Fever-Tree Sparkling Lemon",Pear Slice,Collins,3,26
Cut and Run,,,,"1.5 oz J.H. Cutter Whisky, 1 oz  Moroccan Mint Tea (chilled)*, .75 oz The King's Ginger, .5 oz Lemon Juice, .25 oz Rich Honey Syrup**","Lemon Wheel, Mint Sprig, Blackberry",Old Fashioned Glass,9,32
California's Callin',Jeff Hollinger,,,"1.5 oz Junipero Gin, .5 oz Luxardo Maraschino Liqueur, 1 oz Grapefruit Juice, .75 oz Lemon Juice, 1 dash Tempus Fugit Abbott's Bitters,  to fill Anchor California Lager",Grapefruit Peel,Collins,,38
End of Winter,Russell Davis,,San Francisco,"2 oz H by HINE (Brown Butter-Infused), 0.5 oz King's Ginger Liqueur, 3 dash Fee Brothers Black Walnut Bitters",Luxardo Cherries,N/A,9,26
Hopped-Up Mule,Jeff Hollinger,,,"2 oz Hophead Vodka, .5 oz King's Ginger Liqueur, .75 oz Lime Juice,  top Ginger Beer",Lime Wheel,Collins,5,36
San Fran Shandy,,,San Francisco,"2 oz Hophead Vodka, .5 oz King's Ginger Liqueur, 3 oz Breckle's Brown Ale, 1 oz Fresh Lemon Juice, .5 oz Honey Syrup, .5 oz Egg White, 2 dash Angostura Bitters",Half Orange Wheel,N/A,7,38
Hotaling White Manhattan,,,San Francisco,"2 oz Christmas Spirit, 1 oz Tempus Fugit Alessio Vermouth Bianco, .25 oz Luxardo Triplum (Triple Sec), 1 dash Fee Brother's Orange Bitters",Orange Twist,N/A,9,35
Coffey Grain Manhattan,,,,"2 oz Nikka Coffey Grain Whisky, 1 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 1 dash Tempus Fugit Abbott's Bitters",Flamed Orange Peel,Coupe,,27
Shadowcat,Conal Nielsen,,Houston,"1 oz Luxardo Bitter Bianco, 1 oz Barr Hill Gin, .75 oz Falernum, 1 oz Topo Chico Mineral Water, 1 dash Lemon Bitters","Mint, Lemon Wedge",Coupe,5,36
Martinez,Jeff Hollinger,,,"2 oz Old Tom Gin, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso, .25 oz Luxardo Maraschino Liqueur, 2 dash Orange Bitters",Lemon Peel,Cocktail Glass,,26
Negroni D'Amore,Jeff Faile,,,"1.5 oz Old Tom Gin, 1 oz Barolo Chinato, 1 oz Tempus Fugit Kina L'Aero d'Or",Orange Peel,Old Fashioned Glass,10,35
Radice Amara,Elyse Blechman,,Houston,"1.5 oz Luxardo Bitter Bianco, 1 oz Reisetbauer Carrot Eau De Vie, .75 oz Genevieve Gin",Carrot Ribbon,Coupe,9,39
Miyagikyo Kick,Brian Quinn,,,"1.5 oz Nikka Whisky Miyagikyo Single Malt 12 YO, .75 oz Rare Wine Co. Charleston Sercial Madeira, .75 oz Fresh lime juice, .625 oz Small Hands Food orgeat",,Coupe,,36
King's Toddy,Kevin Martin,,San Francisco,"1 oz No.3 London Dry Gin, .75 oz Lemon Juice, .5 oz King's Ginger Liqueur, .5 oz Clover Honey Syrup",Orange Twist,,9,28
Picadilly,,,,"1.5 oz No.3 London Dry Gin, .5 oz Pimms, 1 bsp Luxardo Amaretto di Saschira, 1 oz Fresh lime juice, .75 oz Simple syrup, 5 leaves Basil leaves",Cucumber wheel,Coupe,3,27
Elgin Elixir,Alan Kropf,,San Francisco,"1 oz BenRiach Single Malt 12 YO, 1 oz C. Drouin Calvados Selection, 1 oz Luxardo Aperitivo",,Rocks Glass,5,26
Erasmus' Revenge,Keli Rivers,,,"2 oz Junipero Gin, .5 oz Carpano Antica, 1 bsp Calisaya, 3 dash The Bitter Truth Grapefruit Bitters",Grapefruit Peel,N/A,6,22
The Sparkler,Laurie Sheddan,,Houston,".75 oz Luxardo Bitter Bianco, .75 oz Dolin Blanc, 2.5 oz Prosecco",Long Grapefruit Peel,Champagne Flute,,-1
Shroud of the Inca,Arien Chabolla,,Houston,"1 oz Luxardo Bitter Bianco, .25 oz Castilian Tincture*, .75 oz BarSol Supremo Moste Verde Italia Pisco, 2 oz Prosecco",Candied Blood Orange Wheel**,Coupe,9,27
The Cliffdiver,,,,"1.25 oz D'aristi 10 YR Rum, .5 oz The Genuine Curacao Liqueur Blue, .25 oz Tempus Fugit Liqueur de Violettes, 1 oz Lime Juice, .5 oz Tahitian Vanilla Bean Syrup, 1 float Ginger Beer, 3 dash Angostura Bitters","Grilled Pineapple Wedge, Luxardo Cherries, Edible Orchid",Collins,3,35
Irish Goodbye,Ari & Micah Wilder,,Washington DC,"1.5 oz Nikka Coffey Grain Whisky, .25 oz Absinthe, 4 oz Hot coffee, 2-3 oz Homemade Irish Cream",Star Anise,,8,26
Old Tom and The Sea,Kelly McCarthy,,,"1.5 oz Old Tom Gin, 1 oz Tempus Fugit Alessio Vermouth Bianco, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Lemon Juice","Lemon, Cherry Flag",N/A,6,23
Salty Swede,,,,"2 oz Karlsson's Gold Vodka, 2 oz Fresh grapefruit juice, 1 oz Club soda, 1 tincture Grapefruit bitters",,Old Fashioned Glass,10,29
Pink & Black,,,,"2 oz Pink Pigeon Rum, 3 oz Coca-Cola, .5 oz Lime Juice",,Collins,3,26
Caipirinha,,,,"4 pieces Lime, 1-2 Tbsp Sugar, 1 1/2 oz Ypiòca",,N/A,9,35
Bubbly Bird,Kate Grutman,,,"1 oz Pink Pigeon Rum, 1 fill Champagne, 1 dash Angostura bitters, 1 dash Peach bitters, 1 dash Luxardo Fernet",Lemon twist,Champagne Flute,,42
Framboise de Pigeon,Cristina Bini,,new york,"2 oz Pink Pigeon Rum, .5 oz Briottet Creme de Framboise (Raspberry), .5 oz Lemon juice, .25 oz Simple syrup*",Sweet Paprika,Martini,5,47
The King's Egg Nog,,,,"1 oz No.3 London Dry Gin, .5 oz King's Ginger Liqueur, .25 oz English Harbour Rum, 3 spoon Sugar, 1 whole Egg, .5 oz Milk, .5 oz Cream","Nutmeg, grated",,6,32
Flip and Flight,Ryan Chetiyawardana,,United Kingdom,"30 ml Pink Pigeon Rum, 15 ml Dry Oloroso Sherry, 15 oz Grenadine, 1 whole Egg,   Vanilla-Salt Spray",,N/A,3,29
Dry Mauritian Sour,Ryan Chetiyawardana,,UK,"40 ml Pink Pigeon Rum, 10 ml Campari, 10 ml Lavender syrup, 10 ml Lemon juice , 10 ml Orange juice, 25 ml Egg white",,N/A,9,35
The Brightside,Brian Floyd,,,"1.5 oz Pink Pigeon Rum, 2.5 oz Fresh orange juice, 1 Tbsp Luxardo Bitter, 1 dash Milk powder (or cream)",,Old Fashioned Glass,10,26
The King's Froth & Frizz,Jupiter Olympus,,San Francisco,"1 oz BarSol Selecto Italia Pisco, 1.25 oz King's Ginger Liqueur, .5 oz Peach Brandy, .5 oz Lemon juice, .5 oz Egg white",Star Anise,Champagne Flute,6,32
The Queen's A Redhead,,,united Kingdom,"50 ml King's Ginger Liqueur, 4  Pink Peppercorns, 25 ml Fresh lemon juice, 15 ml Gomme syrup, 25 ml Egg white",Small grind of black pepper,Collins,,38
Jalapeño Sour,Kevin Diedrich,,,"2 oz Chinaco Blanco Tequila, .5 oz Green Chartreuse, .5 oz Lime juice, 1 oz Pineapple juice, .5 oz Jalapeño Syrup, .5 oz Egg White",Jalapeño slice,Double Rocks Glass,5,26
Hanny's Hot Apple Toddy,St. John Frizell,,,"1.5 oz Luxardo Amaretto di Saschira, 8 oz Apple Cider,  oz Heavy Cream,  oz Cinnamon",Cinnamon,,7,36
The Alpine Mist,Tineke Triggs,,,"2 oz Mezcal, 2 oz Reed's Premium Ginger Brew, 1 tsp Seedless Blackberry Jam, 1  Lime, juiced, 12  Mint Leaves, muddled","Mint Leaf, Orange Peel",Martini,9,38
Division Bell,Phil Ward,,,"1 oz Mezcal, .75 oz Aperol, .5 oz Luxardo Maraschino Liqueur, .75 oz Lime Juice",Grapefruit Twist,Martini,5,35
Japanese Cocktail,,,,"2 oz H by HINE, .5 oz Luxardo Orgeat Syrup, 3 dash Angostura Bitters",Lemon Peel,Cocktail Glass,9,27
Vinterpäls,Sean McClure,,,"1.5 oz Karlsson's Gold Vodka, .5 oz Luxardo Amaretto di Saschira, .5 oz Benedictine, .5 oz Orange juice, .5 oz Honey",Long orange peel studded with cloves,,6,37
Mayan Sacrifice Champagne Cocktail,,,,".5 oz Chinaco Blanco Tequila, .5 oz D'Aristi Xtabentun Honey Liqueur",,N/A,9,35
Pacific Kick,,,,"1 oz Japanese Whisky, 3 oz Amaro Angeleno, 1 oz Luxardo Orgeat Syrup, 1 oz Lemon Juice",,Old Fashioned Glass,10,34
Citrus Quo (Adapted),Francesco Lafranconi,,,"1.5 oz No.3 London Dry Gin, .5 oz Luxardo Limoncello, .5 oz Luxardo Aperitivo, 3 oz Tonic water",,N/A,6,36
The Mayan Premonition,,,,"1.5 oz Chinaco Blanco Tequila, .75 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Fresh Lime Juice, 1 float Bitter Lemon Soda","Fresh Ginger Slice, Luxardo Cherry",Wine Glass,7,26
Club Med,Francesco Lafranconi,,,".75 oz Luxardo Apricot Liqueur, .75 oz BarSol Selecto Italia Pisco, .75 oz Elderflower Liqueur, 2 oz White dry white(preferably Sauvignon), 2 oz Club soda",Apricot slices,N/A,9,35
Pisco Sour,,,,"2 oz BarSol Primero Quebranta Pisco, 1 oz Fresh lime juice, 1 oz Simple syrup, .5 oz Egg white, 3 dash Angostura bitters",,N/A,5,36
Jamaica Paloma,Caitlin Laman,,,"2 oz Mezcal, 1 oz Jamaica basil flower syrup*, .75 oz Fresh grapefruit juice, .5 oz Fresh lime juice",Salted starfruit,N/A,8,26
Ypioca Chile Punch,Lauren Sanchez,,Miami,"2 part Ypioca Brasilizar Cachaca Prata Classica, 1 part Fresh Lime Juice, .5 part Agave, .5 part Ancho Reyes Ancho Chile Liqueur","Pineapple Chunks, Dried Ancho Chiles, Star Anise",N/A,8,35
Prata Punch,Lauren Sanchez,,miami,"2 part Ypioca Brasilizar Cachaca Prata Reserva Especial, .5 part Lillet Rose, .5 part Guava Nectar, .25 part Fresh Lime Juice, .25 part Agave,  top Banfi Rosa Regale Sparkling Wine","Strawberries, Lime Wheels",N/A,3,39
Engaged and Cant-Aloupe,Brian Van Flandern,,,"1.5 oz BarSol Supremo Moste Verde Italia Pisco, 1.25 oz Fresh Cantaloupe Juice, .5 oz Fresh Lime Juice, .75 oz Beet Sugar Water*, 1  Egg White",Angostura Bitters,Rocks Glass,3,36
Mauritian Made,,,,"1.5 oz Pink Pigeon Rum, .75 oz Darjeeling simple syrup, 1 oz Lime juice","Mint sprig, lime wheel",Rocks Glass,4,28
Hotaling Seaside Shandy,Jeff Hollinger,,,"1 oz Genevieve Gin, 1 bottle Lager",,N/A,3,27
Blind Luck,Andrew Grala,,Houston,"1 oz Luxardo Bitter Bianco, 2.5 oz Old Tom Gin, 2 bsp Real Lemon Juice, 2 bsp Strawberry-Raspberry Simple Syrup*","Raspberry, Mint Sprig, Lemon Zest",Martini,6,26
The King's Cranberry Sauce,,,,"1 pkg, 14 oz Cranberries, 1.5 c Brown Sugar, .5 c Orange Juice, .3 c King's Ginger Liqueur, 8 whole Pepper Corns, 6  Allspice Berries, 5  Cloves, 1 stick, 2 in Cinnamon",,N/A,7,22
Mexican Sazerac,,,,"2 oz Chinaco Reposado Tequila, .75 oz D'Aristi Xtabentun Honey Liqueur, 3 dash Peychaud's Bitters",Lemon twist,Old Fashioned Glass,10,-1
Karlsson's Kold Brew,Sean McClure,,,"1 oz Karlsson's Gold Vodka (Coffee-Infused), .75 oz Café Moka, .75 oz Cardamom syrup*, 2 Tbsp Soy milk coffee foam**, 1 pinch Espresso powder",,,8,27
Root Down,Sean McClure,,,"2 oz Karlsson's Gold Vodka (Root-Infused), .5 oz Cardamaro, .5 oz Fresh lemon juice, .5 oz Grade-A dark maple syrup, 1.5 oz Fenteman's ginger beer, 4 inch Whole licorice root",Licorice root,Rocks Glass,3,35
Chilli Vanilli,Sean Mcclure,,,"2 oz Karlsson's Gold Vodka, .5 oz Lustau Amontillado Sherry, .75 oz St. Elizabeth Allspice Dram, .75 oz Burned Demerara Sugar Syrup*, 1 tincture Bob's Vanilla Bitters, .75 oz Vanilla Powder, 1  Egg White",,Coupe,,26
Pear and Cranberry Fizz,sean McClure,,,"1.5 oz Karlsson's Gold Vodka, .5 oz Fresh Lemon Juice, 1 oz Rothman & Winter Orchard Pear Liqueur, .75 oz Cranberry Juice, 1 tincture Fee Brothers Cranberry Bitters, 10  Fresh Cranberries",2 Pear slices,Highball Glass,3,23
Asian Affair,Sean McClure,,,"2 oz Karlsson's Gold Vodka, .75 oz Boiron Kalamansi Juice, .5 oz Thai Basil Syrup*, .5 oz Cocchi Americano, 2 oz Fentimans Ginger Beer",Young Australian Candied Ginger,Highball Glass,3,25
Pumpkin and Spice,Sean Mcclure,,,"1.5 oz Oatmeal-Infused Karlsson's Gold Vodka*, 1.5 oz Ginger Beer, .5 oz Oloroso Sherry, .25 oz St. Elizabeth Allspice Dram, .25 oz Molasses, 1 bsp Pumpkin Puree, 1 tincture Fee Brothers Black Walnut Bitters",Fresh Nutmeg,Rocks Glass,5,
Tambourine,Sean Mcclure,,,"2 oz Karlsson's Gold Vodka, .75 oz Pineapple juice, .5 oz Fresh lime juice, .5 oz Kaffir lime & tamarind compound syrup*",Kaffir lime leaf (cut lengthwise),Coupe,3,32
Eden's Apple,Sean McClure,,,"1.5 oz Apple & Cinnamon-Infused Karlsson's Gold Vodka, .75 oz J. T. Taylor's Falernum, .5 oz Fresh lemon juice, 1 oz Fresh Cider, 1 tincture Bar Keep Baked apple bitters",Apple slice,Coupe,3,29
Swedish 75,sean McClure,,,"1 oz Karlsson's Gold Vodka, 1 oz Lemon curd (or a large bar spoon), 1.5 oz Brut Champagne",Lemon twist,Coupe,4,35
Barbary Coast Bulldog,,,,"1.5 oz Hophead Vodka, .75 oz Luxardo Espresso Italian Liqueur, 2 oz Cream, 2 oz Mexican Coca Cola",Luxardo Cherry,,,26
Apple Shrub Spritz,sean McClure,,,"1 oz Karlsson's Gold Vodka, 2.5 oz Spiced apple shrub*, 2 oz Chilled club soda",Apple slices (sliced very thin),Champagne Flute,,32
The No.3 Winter Cup,,,,"25 ml No.3 London Dry Gin, 25 ml King's Ginger Liqueur, 12.5 ml Red Vermouth (Antica Formula), 150 ml Good quality sharp lemonade","Pink Grapefruit wedge, Ginger",Highball Glass,3,36
Vieux Carré,,,,".75 oz Rye Whiskey, .75 oz H by HINE, .75 oz Tempus Fugit Alessio Vermouth Bianco, 1 bsp Benedictine, 2 dash Angostura Bitters, 2 dash Peychaud's Bitters",Lemon Twist,Cocktail Glass,,26
The Ladybird,Kate Grutman,,,"2 oz Pink Pigeon Rum, 2 dash Fee Brothers Black Walnut Bitters, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Luxardo Fernet","Luxardo Cherry, Lemon Spiral",Coupe,,35
Passionate Pigeon ,Jason Fendick,,United Kingdom,"50 ml Pink Pigeon Rum, 50 ml Lychee juice, .5  Lime, juiced, 1  Passion fruit, 1 float Ginger beer",,Collins,6,39
Mayan Decadence,Ronaldo Colli,,San Francisco,"1.75 oz Chinaco Anejo Tequila, .5 oz Xtabentun Liqueur (honey, anis), 3 dash Bittermens Xocolatl Mole Bitters, 3 dash Fee Brothers Aztec Chocolate Bitters",Orange Peel,,,36
The No.3 Winter Punch,,,,"1 part No.3 London Dry Gin, 1 part King's Ginger Liqueur, .5 part Red Vermouth (Antica Formula), 6 part Good quality sharp lemonade  ","Pink Grapefruit wedge, Ginger",,7,28
The Southside,,,,"2 oz No.3 London Dry Gin, 1 oz Fresh lemon juice, 1 oz Simple syrup, 5 leaves Mint leaves",Mint sprig,N/A,6,27
Apricot Blush,Francesco Lafranconi,,,"1 oz Vanilla flavored Vodka, .75 oz Luxardo Apricot Liqueur, 1 oz Fresh sweet n' sour mix, 3 oz Prosecco,  oz Sliced plum, 2 sprigs Mint sprig",Sprig of mint,N/A,3,26
Nikka Coffey Malt Old Fashioned,,,,"2.5 oz Nikka Coffey Malt Whisky, .5 oz Demerara Syrup, 4 dash Tempus Fugit Abbott's Bitters",Lemon Peel,Old Fashioned Glass,10,22
Honey Basil Smash,,,,"1.5 oz English Harbour Rum 5 YO, .25 oz Honey, 3  Lime Wedges, 4  Basil Leaves,  top Ginger Ale",Basil Leaf,Collins,5,-1
Nikka Coffey Grain Perfect Manhattan,,,,"2 oz Nikka Coffey Grain Whisky, .5 oz Tempus Fugit Alessio Vermouth di Torino Rosso, .5 oz Dolin Vermouth, 2 dash Tempus Fugit Abbott's Bitters",Luxardo Cherry,Cocktail Glass,3,27
Juniperotivo,,,,"1.5 oz Junipero Gin, .5 oz Simple Syrup, .5 oz Lime Juice, .25 oz Pomegranate Syrup, 4 large Mint Leaves",Mint Leaves,Cocktail Glass,3,35
Desmond's Choice,,,,"2 oz Hirsch Small Batch Reserve Bourbon, .5 oz Creme de Cacao, .25 oz Pierre Ferrand Dry Orange Curacao, 3 dash The Bitter Truth Jerry Thomas Bitters","Orange Peel, Luxardo Cherry",Old Fashioned Glass,9,26
Cafe Creole,Brian Floyd,,Austin,"1.5 oz Pink Pigeon Rum, 1 oz Luxardo Espresso Italian Liqueur, 1.5 oz Heavy cream, .75 oz Simple syrup",,N/A,6,23
La Nueva Moda (The New Fashion),,,,"2 oz Chinaco Anejo Tequila, .25 oz Mezcal, .25 oz Luxardo Maraschino Liqueur, 2 drops Agave Nectar, 3 dash Fee Brothers Aztec Chocolate Bitters, 2 cubes Sugar",Luxardo Cherries,Rocks Glass,5,25
And The Cherry On Top Is...,,,,"1 oz Luxardo Maraschino Liqueur, 3 oz Vodka, .5 oz Root 23 Cherry Almond Simple Syrup, 1 oz Lemon Juice,  splash Club Soda","6 Muddled (pitted) Cherries, 2 Cherries",,3,32
Phad Thai,Sean McClure,,,"2 oz Karlsson's Gold Vodka, 1 oz Nigori sake (Unfiltered), .5 oz Fresh Shibori Yuzu juice, .5 oz Simple syrup (2:1 sugar water), .5 pc Thai chili, 4-5 sprigs Fresh cilantro (stems on)",Thai chili piece,Rocks Glass,10,29
The King's Winter Cup,,,,"1.5 oz King's Ginger Liqueur, 1 oz Fresh pressed Apple Cider, 4 oz Hard Apple Cider, 1 stick Cinnamon stick",,N/A,6,35
The Sixth Sense,Joy Richards,,,"1 oz Junipero Gin, 1 oz Luxardo Amaro Abano, 1.5 oz Cream of Coconut, .5 oz Fresh pineapple juice, .5 oz Fresh lime juice, 3 dashes Angostura bitters",,N/A,6,26
Pink Punch,,,,"3 c Pink Pigeon Rum, 3 c Orange Juice, 3 c Pineapple Juice, 3 c Ginger Ale, .25 c Grenadine, 1  Fresh-Squeezed Lime Juice",,,8,32
